Server 1-Logins-KilledBy,54326
Server 1-Logins-Chat,25153
Server 1-Logins-BlockPlace,35171
Server 1-Logins-Death,27461
Server 1-Logins-BlockBreak,71992
Server 1-Logins-Kicks,2151
Server 1-Logins-CraftedItems,38230
Server 2-Logins-KilledBy,2998
Server 2-Logins-Chat,8506
Server 2-Logins-BlockPlace,89096
Server 2-Logins-Death,6357
Server 2-Logins-BlockBreak,129436
Server 2-Logins-Kicks,2571
Server 2-Logins-CraftedItems,0
Server 3-Logins-KilledBy,99
Server 3-Logins-Chat,116
Server 3-Logins-BlockPlace,1197
Server 3-Logins-Death,186
Server 3-Logins-BlockBreak,2619
Server 3-Logins-Kicks,63
Server 3-Logins-CraftedItems,1111
Server 4-Logins-KilledBy,6402
Server 4-Logins-Chat,2150
Server 4-Logins-BlockPlace,15613
Server 4-Logins-Death,7805
Server 4-Logins-BlockBreak,29328
Server 4-Logins-Kicks,1282
Server 4-Logins-CraftedItems,0
Server 5-Logins-KilledBy,1652
Server 5-Logins-Chat,637
Server 5-Logins-BlockPlace,15416
Server 5-Logins-Death,2440
Server 5-Logins-BlockBreak,30070
Server 5-Logins-Kicks,350
Server 5-Logins-CraftedItems,0
Server 6-Logins-KilledBy,1960
Server 6-Logins-Chat,1789
Server 6-Logins-BlockPlace,20017
Server 6-Logins-Death,2619
Server 6-Logins-BlockBreak,37759
Server 6-Logins-Kicks,315
Server 6-Logins-CraftedItems,13434
Server 1-Logins,43204
